Astar Materyali,Ayakkabi Tabani,Baglama Sekli,Bilek Stili,Boy / Olcu,Deri Kalitesi,Desen,Dis Materyal,Ek Ozellik,Kalip,Koleksiyon,Kullanim Alani,Kumas Tipi,Okula Donus,Renk,Saya Materyali,Spor Bransi,Spor Turu,Taban,Taban Materyali,Taban Tipi,Topuk Tipi,Zemin,Cesit,Civi Tipi,Izolasyon,Ic Taban Materyali,price
0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,677 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3360 
2,0,1,0,0,0,4,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3795 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2690 
1,0,3,0,2,0,0,2,3,1,0,3,0,0,1,1,0,0,2,2,0,2,0,0,0,0,1,2793 
1,0,3,0,2,0,0,2,3,1,0,3,0,0,1,1,0,0,2,2,0,2,0,0,0,0,1,2793 
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,625 
0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2944 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7038 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1493 
1,0,1,0,0,0,0,2,1,0,0,1,0,2,1,1,0,0,0,1,1,1,0,0,0,0,2,2699 
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7640 
2,0,1,0,0,0,2,2,1,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2269 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1460 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4999 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6999 
0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2795 
1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,2,0,0,0,3,1,1,0,0,0,0,1,3561 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3590 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4999 
1,0,1,0,0,0,0,2,2,0,0,1,0,1,1,1,0,0,0,2,1,1,0,0,0,0,1,7452 
1,0,3,0,3,3,5,4,1,1,0,3,0,0,1,1,0,0,2,2,0,2,0,0,0,0,1,2051 
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3899 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,2064 
1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,2,4,0,0,4,0,0,0,1,0,0,1,1890 
1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799 
2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1210 
1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,2,4,0,0,4,0,0,0,1,0,0,1,1890 
1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799 
2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1210 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5224 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,882 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,275 
0,0,1,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1936 
1,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,13590 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,645 
0,0,1,0,2,0,0,3,0,1,0,3,0,0,5,0,0,1,2,0,0,3,0,0,0,0,0,5928 
0,0,2,0,1,0,0,3,0,1,0,3,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,349 
0,0,3,0,1,0,0,0,3,1,0,3,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,3990 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1159 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2990 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3995 
0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,489 
3,0,1,0,0,2,0,0,1,0,5,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,3,3690 
0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,399 
0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1790 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,370 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,599 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,645 
1,0,1,0,0,0,8,2,1,0,0,1,0,0,1,1,0,0,0,4,0,1,0,0,0,0,1,3299 
0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3697 
2,0,1,0,0,0,4,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,3795 
0,0,2,0,0,0,14,4,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3717 
0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2969 
0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1983 
2,0,1,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,1069 
1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,1,399 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2690 
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2357 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1069 
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2649 
0,0,1,0,0,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,4095 
3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2043 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3649 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799 
1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,1990 
3,0,1,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,3,5903 
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3038 
1,0,1,0,0,0,2,0,1,0,0,1,1,0,2,1,0,0,0,5,0,1,0,0,0,0,1,469 
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2775 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,269 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2649 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1199 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1390 
0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2121 
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2420 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,521 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1109 
0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3855 
0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2649 
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22 
3,0,1,0,0,2,0,0,0,0,0,0,0,0,6,3,0,0,0,2,0,0,0,0,0,0,3,589 
