Unnamed: 0,Astar Materyali,Bağlama Şekli,Desen,Dış Materyal,Ek Özellik,Kullanım Alanı,Kumaş Tipi,Materyal,Materyal Bileşeni,Ortam,Persona,Renk,Saya Materyali,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,İç Taban Materyali,url,price
,,Bağcıklı,,Tekstil,,Spor,,,,,,Siyah,,EVA,,,,,,https://www.trendyol.com/adidas/runfalcon-2-0-k-spor-ayakkabi-cblack-ftwwht-p-79599970,849 
,,Fermuarlı,,Suni Deri,Ortopedik Taban,Günlük,,Polar,,,,Gri,,,,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,,https://www.trendyol.com/yabuman/unisex-siyah-kislik-uzun-dayanikli-kaucuk-taban-bot-outdoor-postal-oly-203-p-204089179,3490 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/us-polo-assn/us-polo-assn-clark-cirtli-sicak-astarli-unisex-kar-botu-siyah-p-353518500,5819 
,Tekstil,Bağcıklı,,Tekstil,,Outdoor,,Tekstil,,,,Siyah,,Kauçuk,Kauçuk Taban,Kalın Taban,Orta Topuklu (5-9 cm),Dolgu Topuklu,Tekstil,https://www.trendyol.com/adasu/wanderson-run-star-unisex-canvas-sneaker-ayakkabi-p-221511955,225 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/riccon/run-pro-siyah-siyah-erkek-kosu-ayakkabisi-0012121-p-290127175,2999 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,Tekstil,,Spor,Örme,,100% Suni Deri,Sportswear,,Siyah,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/hummel/caracas-siyah-unisex-ayakkabi-p-31534192,3795 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,,Ortopedik Taban,Spor,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",Casual&Comfort,,Siyah,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-siyah-spor-ayakkabi-v2alx-p-110345644,2286 
,Tekstil,Bağcıklı,,Mikrofiber,,Günlük,,Suni Deri,,Sportswear,Cool Comfort,Siyah,,Kauçuk,Kauçuk Taban,,,,Tekstil,https://www.trendyol.com/muggo/blake-unisex-sneaker-ayakkabi-p-147045762,2399 
,,Bağcıklı,,Mikrofiber,,Outdoor,,Tekstil,,,,Beyaz,,,Air Zoom,Düz Taban,,,,https://www.trendyol.com/freemax/unisex-garantili-ortopedik-hafif-esnek-saglam-sneaker-spor-ayakkabi-beyaz-beyaz-p-261669042,2990 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/big-king/siyah-spor-ayakkabi-p-252292984,2690 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,Bağcıklı,Renk Bloklu,Suni Deri,Ortopedik Taban,Spor,Örme,Suni Deri,100% Suni Deri,Sportswear,,Gri,Suni Deri,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Suni Deri,https://www.trendyol.com/tonny-black/unisex-gri-faylon-taban-spor-ayakkabi-tbb013-p-239878303,2275 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/big-king/siyah-dozer-triko-kaucuk-detay-spor-ayakkabi-p-254036977,3590 
,,Fermuarlı,,Suni Deri,,Günlük,,Su Geçirmez,,,,Siyah,,,Su Tahliyeli,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,,https://www.trendyol.com/yabuman/unisex-kislik-uzun-bot-oly-203-p-55417469,2969 
